key,cp,ville,lat,lon
33380_BIGANOS -,33380,BIGANOS -,44.64819,-0.949103
33150_CENON,33150,CENON,44.854935,-0.523227
33610_CANEJAN,33610,CANEJAN,44.760587,-0.654768
33670_CREON,33670,CREON,44.76719,-0.34455
33185_LE HAILLAN,33185,LE HAILLAN,44.86943,-0.690404
33930_VENDAYS-MONTALIVET,33930,VENDAYS-MONTALIVET,45.34446,-1.089784
33310_LORMONT -,33310,LORMONT -,44.875952,-0.516136
33460_MACAU -,33460,MACAU -,44.99743,-0.611365
33127_MARTIGNAS-SUR-JALLE,33127,MARTIGNAS-SUR-JALLE,44.844464,-0.778922
33700_MERIGNAC,33700,MERIGNAC,44.83337,-0.674682
33450_MONTUSSAN,33450,MONTUSSAN,44.882483,-0.43088
33720_PODENSAC,33720,PODENSAC,44.648701,-0.357522
33680_LE PORGE,33680,LE PORGE,44.875625,-1.113831
33360_QUINSAC -,33360,QUINSAC -,44.749542,-0.483012
33410_RIONS,33410,RIONS,44.670358,-0.326458
33240_SAINT-ANDRE-DE-CUBZAC -,33240,SAINT-ANDRE-DE-CUBZAC -,44.99533,-0.439459
33330_SAINT-EMILION,33330,SAINT-EMILION,44.897921,-0.173846
33560_SAINTE-EULALIE,33560,SAINTE-EULALIE,44.90275,-0.480888
33160_SAINT-MEDARD-EN-JALLES -,33160,SAINT-MEDARD-EN-JALLES -,44.891628,-0.761713
33650_SAINT-SELVE,33650,SAINT-SELVE,44.665384,-0.476116
33180_SAINT-SEURIN-DE-CADOURNE,33180,SAINT-SEURIN-DE-CADOURNE,45.29332,-0.81275
33660_SAINT-SEURIN-SUR-L'ISLE -,33660,SAINT-SEURIN-SUR-L'ISLE -,45.008137,-0.003744
33590_SAINT-VIVIEN-DE-MEDOC,33590,SAINT-VIVIEN-DE-MEDOC,45.450938,-1.031894
33770_SALLES -,33770,SALLES -,44.547749,-0.849214
33320_LE TAILLAN-MEDOC,33320,LE TAILLAN-MEDOC,44.914814,-0.679029
33260_LA TESTE-DE-BUCH,33260,LA TESTE-DE-BUCH,44.616272,-1.157052
